,gene_ids,n_cells,highly_variable,means,dispersions,dispersions_norm
TNFRSF25,ENSG00000215788,79,True,0.4099745967969159,3.856599320303107,2.625778
CAMTA1,ENSG00000171735,118,False,0.3683653877750156,1.2127857029973503,-0.4404258
VAMP3,ENSG00000049245,121,False,0.3788231152232908,1.3044398841728515,-0.27120703
PARK7,ENSG00000116288,579,False,1.5109907229183854,1.3858672926825912,-1.5054364
RERE,ENSG00000142599,61,False,0.19407045455857966,1.2285992667320536,-0.41122964
ENO1,ENSG00000074800,679,False,1.9004448468651536,2.501367415271145,0.42922828
SLC25A33,ENSG00000171612,50,False,0.17016239638972666,1.3535691714658846,-0.1805009
PIK3CD,ENSG00000171608,109,False,0.3307662831308525,1.1875957291957069,-0.4869334
CLSTN1,ENSG00000171603,72,False,0.23858722590798528,1.295666943780581,-0.2874043
CTNNBIP1,ENSG00000178585,89,False,0.27107448660258354,1.1457344627861417,-0.5642208
LZIC,ENSG00000162441,72,False,0.2388034697519483,1.2942376441574022,-0.29004318
RBP7,ENSG00000162444,80,True,0.34223727562608175,2.6695916571010603,2.2492378
UBE4B,ENSG00000130939,47,False,0.16840950881606206,1.280783218230598,-0.31488374
PGD,ENSG00000142657,174,False,0.5585503625330849,1.4119005227035428,-0.4416595
DFFA,ENSG00000160049,58,False,0.20818515970935836,1.3142174514856504,-0.25315496
TARDBP,ENSG00000120948,80,False,0.26319905045143593,1.2439695200921117,-0.38285193
SRM,ENSG00000116649,176,True,0.5965555952679328,2.7678989646628063,1.2597528
EXOSC10,ENSG00000171824,42,False,0.13880265918721052,1.204514017649889,-0.4556976
UBIAD1,ENSG00000120942,42,True,0.24398663600354983,3.819288611121373,4.371894
FBXO6,ENSG00000116663,90,False,0.3237518949353413,1.4149001538587604,-0.067267075
MAD2L2,ENSG00000116670,112,False,0.3884189341650532,1.4641480359760994,-0.37610298
AGTRAP,ENSG00000177674,240,False,0.7449027567052497,1.379269144548852,-0.7130034
MIIP,ENSG00000116691,93,False,0.28730877406541555,1.1967058853747663,-0.47011358
TNFRSF1B,ENSG00000028137,233,False,0.7097425977766467,1.5354945786879772,-0.5004364
PRDM2,ENSG00000116731,79,False,0.2791495567555266,1.3935045655432863,-0.106769204
EFHD2,ENSG00000142634,301,True,1.002546030624968,3.099652552613515,1.4067295
RP11-169K16.9,ENSG00000179743,55,False,0.1967146533393803,1.5429558436016069,0.16915886
SZRD1,ENSG00000055070,121,False,0.38954761642958696,1.3182286961216416,-0.5591924
NECAP2,ENSG00000157191,225,False,0.6997607395222037,1.8254530206237805,-0.105906606
CROCCP2,ENSG00000215908,52,False,0.178820333863086,1.2682663135127838,-0.33799338
RP11-108M9.4,ENSG00000238142,62,False,0.2093963992871063,1.228187472518016,-0.41198993
SDHB,ENSG00000117118,304,False,0.8740986814966704,2.209987644848574,0.41730756
RCC2,ENSG00000179051,50,False,0.16689109882475717,1.2578049478617028,-0.35730794
UBR4,ENSG00000127481,64,False,0.21634517398536796,1.2556212449549229,-0.36133966
MRTO4,ENSG00000053372,56,False,0.19605716164427434,1.4518068569043592,0.00087282213
AKR7A2,ENSG00000053371,172,False,0.5245842169843554,1.2665079163367672,-0.62408805
CAPZB,ENSG00000077549,651,False,1.7395628032003296,1.4080204099324884,-1.454538
MINOS1,ENSG00000173436,342,False,0.9444690852118316,1.2344408006392704,-1.066693
CDA,ENSG00000158825,245,True,0.9265972097030568,2.72955010912637,0.91594356
DDOST,ENSG00000244038,249,False,0.7369991757502786,1.432045639048738,-0.64119345
HP1BP3,ENSG00000127483,140,True,0.5145014100872921,2.9533749801439955,1.4924752
ECE1,ENSG00000117298,48,False,0.16126206862855486,1.2438662997269894,-0.3830425
USP48,ENSG00000090686,77,False,0.24346622628693054,1.1548552121210078,-0.5473814
CDC42,ENSG00000070831,450,False,1.2125374862238578,1.4532345860465876,-1.0292261
HNRNPR,ENSG00000125944,232,False,0.683591557072065,1.2398245379080792,-0.9027376
ID3,ENSG00000117318,70,False,0.2774307539483456,1.685090920128814,0.4315792
RPL11,ENSG00000142676,895,False,4.347288842335313,2.710067145962001,-1.2422622
PITHD1,ENSG00000057757,158,False,0.5193078366857014,2.090220673084674,0.40944928
LYPLA2,ENSG00000011009,110,False,0.3595780669560445,1.3040512509839233,-0.27192456
HMGCL,ENSG00000117305,67,False,0.2135341447226118,1.2654495014190692,-0.34319398
FUCA1,ENSG00000179163,53,False,0.1715665140276743,1.1889104325965578,-0.4845061
PNRC2,ENSG00000189266,72,False,0.22561756559735913,1.2112122856748275,-0.44333076
SRSF10,ENSG00000188529,59,False,0.20624962170349578,1.2942364476275197,-0.29004538
NIPAL3,ENSG00000001461,70,False,0.2256535379298318,1.2048073412514952,-0.45515606
RCAN3,ENSG00000117602,108,False,0.35150690906446747,1.3044211421389031,-0.27124164
SRRM1,ENSG00000133226,222,False,0.658208280560618,1.4258415368759083,-0.649635
RUNX3,ENSG00000020633,106,False,0.3600317319204074,1.380242534296239,-0.13125455
SYF2,ENSG00000117614,449,False,1.2021955521983143,2.172470085576466,0.12655517
C1orf63,ENSG00000117616,211,True,0.693747698417443,2.975898261064052,1.4594381
TMEM50A,ENSG00000183726,325,True,0.994877457038516,2.986617634023296,1.2568359
LDLRAP1,ENSG00000157978,111,False,0.3959715930336578,1.508663969549829,-0.3202475
MTFR1L,ENSG00000117640,74,False,0.23844012194147962,1.191067350206236,-0.48052385
STMN1,ENSG00000117632,80,True,0.5070289659787283,3.3397912610364373,1.9773233
ZNF593,ENSG00000142684,93,True,0.3927510647251303,3.704076784806052,2.4344034
SH3BGRL3,ENSG00000142669,859,False,3.0252096830357336,2.6667338106338248,0.7461488
UBXN11,ENSG00000158062,110,False,0.3303873143452317,1.128898628083534,-0.59530437
CD52,ENSG00000169442,835,False,2.8996792985182243,2.160746682729315,-0.79426163
HMGN2,ENSG00000198830,125,False,0.38346135443118917,1.2411764010271622,-0.6558722
RPS6KA1,ENSG00000117676,116,False,0.3626771069455905,1.260378380687619,-0.35255668
ARID1A,ENSG00000117713,88,False,0.28789567358237106,1.30672283575394,-0.2669921
GPN2,ENSG00000142751,44,False,0.14494816625618712,1.3129912493758642,-0.25541887
NUDC,ENSG00000090273,286,True,0.8928437736846712,2.6028687180068055,0.95187825
TMEM222,ENSG00000186501,61,True,0.27493056640447394,3.4637537706941663,3.715479
SYTL1,ENSG00000142765,217,False,0.6936833020719491,1.4754705557525731,-0.58210766
WASF2,ENSG00000158195,254,False,0.7797714946380039,2.2639528132346913,0.49073488
FGR,ENSG00000000938,348,False,1.1485705002727926,2.078570974457011,0.05269228
IFI6,ENSG00000126709,525,False,1.763161364761781,2.4684458842501718,0.3725066
STX12,ENSG00000117758,80,False,0.249089455674848,1.1810595663955241,-0.49900097
PPP1R8,ENSG00000117751,75,False,0.26153220308810576,1.4088688864136862,-0.07840245
THEMIS2,ENSG00000130775,197,False,0.6271794709550319,1.389239386850868,-0.47009313
RPA2,ENSG00000117748,195,False,0.616661952635256,1.409910824446157,-0.44415605
PTAFR,ENSG00000169403,52,True,0.24423926396951884,2.894393990327695,2.6642845
DNAJC8,ENSG00000126698,280,False,0.8684889605597585,2.2452561516070992,0.4652954
ATPIF1,ENSG00000130770,351,False,1.0416096704224285,2.1611941622713555,0.16225734
PHACTR4,ENSG00000204138,43,True,0.35233340790835854,4.531753208016643,5.687299
TRNAU1AP,ENSG00000180098,71,False,0.2526790618188596,1.3477342296311532,-0.19127381
SNHG12,ENSG00000197989,58,False,0.20651481335595562,1.332510097791447,-0.21938173
TAF12,ENSG00000120656,178,True,0.5971318897798299,2.738736630318573,1.2231618
GMEB1,ENSG00000162419,43,True,0.1654574707800695,1.9686326138062533,0.95507497
YTHDF2,ENSG00000198492,146,False,0.4650911008445004,1.3321417348020215,-0.5417353
EPB41,ENSG00000159023,66,False,0.2170679577127974,1.2501305550759154,-0.37147698
SRSF4,ENSG00000116350,183,False,0.5575698078398249,1.2800201611457223,-0.6071338
LAPTM5,ENSG00000162511,801,False,2.2727181156918994,2.1468930435527946,-0.43276516
PUM1,ENSG00000134644,51,True,0.23683739079568658,3.2401213017059707,3.302592
SNRNP40,ENSG00000060688,160,False,0.48887193319448075,1.2095676511965887,-0.6955327
ZCCHC17,ENSG00000121766,101,False,0.36587957274654276,1.5209474737532092,0.12852538
PEF1,ENSG00000162517,134,False,0.43270383122943373,1.2934116122306654,-0.59033114
PTP4A2,ENSG00000184007,349,False,0.9910820491531781,1.7015583529721576,-0.4472571
KHDRBS1,ENSG00000121774,311,True,0.9285501156865427,2.7715536656532755,0.9716437
TMEM39B,ENSG00000121775,42,False,0.13344432286260444,1.2334799430578534,-0.40221855
KPNA6,ENSG00000025800,50,False,0.16873568184149515,1.2933676672556857,-0.2916494
CCDC28B,ENSG00000160050,53,False,0.20579312948649492,1.5293027792539413,0.14395157
EIF3I,ENSG00000084623,408,False,1.0970165325399839,1.601169942877496,-0.5803803
LCK,ENSG00000182866,332,False,1.1133571961500175,1.727474787336173,-0.4128898
HDAC1,ENSG00000116478,184,False,0.567129423432686,1.2815876452220047,-0.60516703
MARCKSL1,ENSG00000175130,234,False,0.7743592082831449,1.5740854979606342,-0.44792795
BSDC1,ENSG00000160058,81,True,0.3801962434002727,3.1878980959069265,3.2061737
ZBTB8OS,ENSG00000176261,87,True,0.323783266001429,2.4531829337000093,1.8496878
RBBP4,ENSG00000162521,146,False,0.4647469359721039,1.3111957711050242,-0.5680168
YARS,ENSG00000134684,60,False,0.21773278207127306,1.4171159228736718,-0.06317616
AK2,ENSG00000004455,129,True,0.44002671450763664,2.587010576469394,1.0327866
SMIM12,ENSG00000163866,172,False,0.5071994167765752,1.227538086360347,-0.67298466
SFPQ,ENSG00000116560,218,False,0.6632122557498756,1.3817528417658675,-0.70962393
KIAA0319L,ENSG00000142687,48,False,0.16769191648474002,1.4043308047363654,-0.086780995
RP4-728D4.2,ENSG00000239636,44,False,0.16606092516384943,1.4006316348700898,-0.09361068
PSMB2,ENSG00000126067,302,False,0.85551549254624,1.3085629816037132,-0.80920917
ADPRHL2,ENSG00000116863,68,False,0.22899224142919794,1.266481875210606,-0.34128794
TRAPPC3,ENSG00000054116,218,True,0.7009626194438008,2.9477622142838675,1.421155
MAP7D1,ENSG00000116871,107,False,0.35875917011146313,1.3235236486645803,-0.23597318
THRAP3,ENSG00000054118,147,True,0.5034375855848008,2.30735357623191,0.6818925
STK40,ENSG00000196182,58,False,0.18567679569884063,1.1913412603498648,-0.48001814
LSM10,ENSG00000181817,272,False,0.7673433588747365,1.2659391143751648,-0.867205
MRPS15,ENSG00000116898,213,False,0.6250110572549811,2.0726189949268257,0.3873639
CSF3R,ENSG00000119535,171,False,0.6552956533004491,1.7436882571007688,-0.21715923
MEAF6,ENSG00000163875,318,False,0.8918729448852649,1.5891523056731427,-0.4274274
GNL2,ENSG00000134697,78,False,0.23845995568562445,1.16549649290701,-0.52773464
YRDC,ENSG00000196449,53,False,0.1894143364994614,1.39446521528549,-0.10499558
C1orf122,ENSG00000197982,97,False,0.3328834432165253,1.338988112541655,-0.20742154
SF3A3,ENSG00000183431,124,False,0.37879965323505876,1.2187865711888892,-0.42934656
FHL3,ENSG00000183386,59,False,0.21311204596467329,1.3841610297738391,-0.124019936
UTP11L,ENSG00000183520,66,False,0.2079703343583556,1.1952425919506957,-0.47281522
RRAGC,ENSG00000116954,74,True,0.3249379888238595,3.598351767663281,3.9639838
MYCBP,ENSG00000214114,83,False,0.2584297808987434,1.2139300600927938,-0.438313
AKIRIN1,ENSG00000174574,136,False,0.42988797738787793,1.2478487770452542,-0.6475002
NDUFS5,ENSG00000168653,468,False,1.2886715880978235,2.309097186370661,0.34610918
MACF1,ENSG00000127603,94,True,0.3603876663548517,2.0097863374538263,1.031056
PABPC4,ENSG00000090621,188,False,0.5596309399447482,1.2593266682785729,-0.63309854
PPIE,ENSG00000084072,137,False,0.43146885361850673,1.2314776456111745,-0.6680416
CAP1,ENSG00000131236,533,False,1.4547367855087823,1.436279821387619,-1.4085867
PPT1,ENSG00000131238,271,False,0.8212832042821953,1.855059417077998,-0.06562288
SMAP2,ENSG00000084070,209,False,0.6102551066170807,1.272463629534614,-0.61661524
NFYC,ENSG00000066136,108,True,0.42294507723558206,2.9424537692737456,1.4787719
FOXJ3,ENSG00000198815,43,False,0.14772323431872042,1.237014168945825,-0.39569342
PPCS,ENSG00000127125,237,False,0.6786102015913732,1.1941658482699624,-0.96486276
PPIH,ENSG00000171960,125,False,0.4144526943255608,1.37485694807464,-0.4881392
YBX1,ENSG00000065978,841,False,2.5945779693225814,1.954809091559671,-0.94924647
C1orf50,ENSG00000164008,72,False,0.24655808487240913,1.257983607054086,-0.3569781
CCDC23,ENSG00000177868,160,False,0.5137721814793687,1.6465415542106558,-0.14724833
EBNA1BP2,ENSG00000117395,100,False,0.3097665369399111,1.2125217110275346,-0.4409132
ELOVL1,ENSG00000066322,107,False,0.3588102559028,1.3248752924420513,-0.23347767
MED8,ENSG00000159479,111,False,0.3431015550734842,1.2095741633004222,-0.4463552
ATP6V0B,ENSG00000117410,470,True,1.442797460191048,3.2248378054160263,2.027491
DMAP1,ENSG00000178028,83,False,0.26976763676363236,1.2215166772758042,-0.42430604
ERI3,ENSG00000117419,85,False,0.2690930779527204,1.2722381311427509,-0.3306603
RNF220,ENSG00000187147,62,False,0.19766201059549543,1.1512556790950768,-0.55402714
C1orf228,ENSG00000198520,76,False,0.2666967345367616,1.4573853491485154,0.011172249
RPS8,ENSG00000142937,893,False,3.77810407991865,2.7788194716437116,0.14484884
PLK3,ENSG00000173846,97,False,0.31274377557443533,1.2360807457634442,-0.39741677
EIF2B3,ENSG00000070785,46,False,0.1644646790264108,1.4447949638972,-0.012073056
UROD,ENSG00000126088,107,False,0.32809532598954483,1.173803390963303,-0.5123978
PRDX1,ENSG00000117450,399,True,1.2945372964122255,3.4544581724626755,2.1866562
AKR1A1,ENSG00000117448,212,False,0.6494616848304678,1.6478474392270768,-0.3475643
NASP,ENSG00000132780,123,False,0.4196027724175965,1.383587165577632,-0.47718516
GPBP1L1,ENSG00000159592,87,True,0.30354214771298016,2.3288270236788406,1.6200926
TMEM69,ENSG00000159596,73,True,0.2561316121016968,1.9263100990043365,0.876936
LRRC41,ENSG00000132128,59,False,0.19290023470609385,1.191967161609823,-0.47886255
UQCRH,ENSG00000173660,501,False,1.3731091487518874,1.9267039812242623,-0.26838064
MKNK1,ENSG00000079277,60,False,0.20482673014063676,1.7059926277823863,0.47016948
ATPAF1,ENSG00000123472,70,True,0.26807330272069385,2.334782777966905,1.6310886
EFCAB14,ENSG00000159658,70,True,0.30434114706322407,3.4345128638465656,3.661492
CMPK1,ENSG00000162368,384,False,1.074764661930972,1.3687001920885982,-0.8886541
RNF11,ENSG00000123091,86,False,0.2795342378770446,1.2216594397761869,-0.42404246
EPS15,ENSG00000085832,94,False,0.30692331249499905,1.2705030826127497,-0.3338637
OSBPL9,ENSG00000117859,63,False,0.19245117676702064,1.1998196631290383,-0.46436468
NRD1,ENSG00000078618,101,False,0.3347368316859378,1.3619721030748846,-0.16498679
TXNDC12,ENSG00000117862,220,False,0.6414587781201609,1.2806157157613547,-0.60638654
KTI12,ENSG00000198841,42,False,0.1422825546771403,1.2271197599268384,-0.4139612
BTF3L4,ENSG00000134717,140,False,0.4687376517288729,1.697939591904696,-0.08275765
PRPF38A,ENSG00000134748,124,False,0.3997569619134244,1.3031261911954453,-0.578142
ZCCHC11,ENSG00000134744,61,False,0.21470777044936745,1.3390346163859905,-0.20733568
GPX7,ENSG00000116157,48,False,0.1836896004079736,1.5628948396179743,0.20597172
FAM159A,ENSG00000182183,46,False,0.15633725522086533,1.2644196630307154,-0.34509537
ECHDC2,ENSG00000121310,49,False,0.16468465624922304,1.2212669523509798,-0.4247671
SCP2,ENSG00000116171,341,False,0.9912096463274687,2.2086372254408366,0.2251707
C1orf123,ENSG00000162384,147,False,0.48453258519688164,2.2116538071241005,0.5618151
MAGOH,ENSG00000162385,218,False,0.673014888302034,1.9066367802355837,0.0045554712
YIPF1,ENSG00000058799,51,False,0.17893606444972138,1.4696571091118547,0.033829287
HSPB11,ENSG00000081870,83,False,0.2562001073543642,1.2228261478905427,-0.42188838
TMEM59,ENSG00000116209,465,True,1.2823643212665965,2.787222061798092,1.1144358
MRPL37,ENSG00000116221,103,False,0.30064110369162367,1.1087795425308435,-0.63244975
SSBP3,ENSG00000157216,47,False,0.16418926124387198,1.3231394761369943,-0.23668246
USP24,ENSG00000162402,50,False,0.17233340781594036,1.2539907501331935,-0.36435
JUN,ENSG00000177606,716,False,2.488731608307008,2.5614494620720443,-0.07512475
TM2D1,ENSG00000162604,87,False,0.2913442888581894,1.277151886494777,-0.3215882
USP1,ENSG00000162607,76,False,0.24560326120922804,1.2702638320189452,-0.3343054
PGM1,ENSG00000079739,51,True,0.28701119109892054,3.7193228946355843,4.18733
JAK1,ENSG00000162434,235,True,0.8509517007826444,3.2678993855555576,1.8567473
LEPROT,ENSG00000213625,106,True,0.3610477506703585,2.520632446454164,1.9742181
PDE4B,ENSG00000184588,51,False,0.16932818385919546,1.2607607261203149,-0.35185075
MIER1,ENSG00000198160,49,False,0.16458387323301346,1.194923065885647,-0.47340515
SERBP1,ENSG00000142864,417,False,1.1406165757821045,1.3412585050014159,-0.925044
GADD45A,ENSG00000116717,42,False,0.15251370563419797,1.3525998162961224,-0.1822906
SRSF11,ENSG00000116754,286,False,0.7920338766437088,1.2067492237846547,-0.9477413
ZRANB2,ENSG00000132485,88,False,0.2906172854236916,1.3637025367560225,-0.16179192
ACADM,ENSG00000117054,98,True,0.4044659145421349,3.620926322735935,2.330072
RABGGTB,ENSG00000137955,108,False,0.34521246346047824,1.2601137280399763,-0.35304528
USP33,ENSG00000077254,66,False,0.2309506023062778,1.3060868821507448,-0.26816624
FUBP1,ENSG00000162613,92,False,0.31789441484923947,1.3376289014595029,-0.20993102
IFI44L,ENSG00000137959,320,False,0.9918050194812813,1.5989771407155535,-0.58328813
IFI44,ENSG00000137965,150,True,0.5601183985024523,3.4416093068627513,2.1050775
PRKACB,ENSG00000142875,60,True,0.27684120136132895,3.1632177553736476,3.1606069
RPF1,ENSG00000117133,164,False,0.5252823053052381,1.4798170723862056,-0.35644257
GNG5,ENSG00000174021,412,False,1.1340949308554007,1.3915462269499763,-0.8583584
CTBS,ENSG00000117151,86,False,0.2706145353542548,1.1907067572022867,-0.4811896
C1orf52,ENSG00000162642,77,False,0.2465051324997307,1.2395281965431604,-0.39105183
BCL10,ENSG00000142867,56,False,0.19316182748210378,1.2574648611696095,-0.35793582
ODF2L,ENSG00000122417,126,False,0.4376894451900015,1.4181965903298392,-0.43375966
SH3GLB1,ENSG00000097033,212,True,0.756670991878884,2.6655830456348233,1.0372101
SEP15,ENSG00000183291,344,False,0.974205619776326,1.603586938593924,-0.5771752
LMO4,ENSG00000143013,107,False,0.3661739820057818,1.4000738497254879,-0.0946405
GTF2B,ENSG00000137947,127,True,0.509363253012834,4.004901937767927,2.8118577
CCBL2,ENSG00000137944,70,False,0.22650894977365754,1.2073919523360868,-0.45038414
RBMXL1,ENSG00000213516,63,False,0.1882590084875707,1.1301095391456175,-0.5930687
GBP1,ENSG00000117228,153,False,0.5444311143211623,2.177917308073816,0.5194849
GBP2,ENSG00000162645,275,False,0.8417089586076951,1.7941380285882873,-0.14851512
GBP4,ENSG00000162654,81,True,0.37195913753726906,3.5999949692933395,3.9670174
GBP5,ENSG00000154451,92,False,0.35744695739809745,1.567097106413633,0.21373026
LRRC8D,ENSG00000171492,48,False,0.1657620825370754,1.2918922910776809,-0.29437333
RPL5,ENSG00000122406,893,False,3.4261334955185148,2.365912057769028,-0.56116664
MTF2,ENSG00000143033,89,False,0.2960664729704986,1.2900163741488546,-0.2978368
TMED5,ENSG00000117500,137,False,0.40455051013788956,1.1626830287636998,-0.75436026
DR1,ENSG00000117505,157,False,0.4684312568732045,1.2077444361432843,-0.69782037
DNTTIP2,ENSG00000067334,131,False,0.42040338795881105,1.3165126928040183,-0.5613455
GCLM,ENSG00000023909,55,False,0.2067260174860745,1.4032684233828692,-0.08874244
DPYD,ENSG00000188641,55,False,0.17598766926231055,1.1396143147516222,-0.5755203
TRMT13,ENSG00000122435,43,False,0.1596194359094577,1.3252592641499408,-0.23276876
RTCA,ENSG00000137996,104,False,0.3181568122724001,1.1493441788362384,-0.5575563
DPH5,ENSG00000117543,86,True,0.3501395154893148,2.466204665997162,1.8737295
SLC25A24,ENSG00000085491,65,False,0.20652446407647188,1.17881058903567,-0.5031532
HENMT1,ENSG00000162639,57,True,0.2773071045117287,3.028388838383656,2.9116757
PRPF38B,ENSG00000134186,182,False,0.5854372987205377,1.3755477803676832,-0.4872724
STXBP3,ENSG00000116266,48,False,0.1623356106382586,1.2857735547623619,-0.3056702
TMEM167B,ENSG00000215717,79,False,0.2663651935470598,1.2755653218054974,-0.3245174
SARS,ENSG00000031698,176,False,0.549004933601084,1.3121154343827062,-0.5668629
PSMA5,ENSG00000143106,368,False,0.9917452258866298,1.5452661352233055,-0.6545133
GNAI3,ENSG00000065135,206,False,0.6142765904164298,1.302709970231496,-0.5786642
AMPD2,ENSG00000116337,103,False,0.31450696919958654,1.265086378199837,-0.3438644
AHCYL1,ENSG00000168710,55,False,0.17226638620616197,1.1309451110039508,-0.591526
LAMTOR5,ENSG00000134248,372,False,1.0072399765168023,1.2227748728441268,-1.082163
CD53,ENSG00000143119,611,False,1.6678198958940547,1.5464380208510293,-1.196957
LRIF1,ENSG00000121931,49,False,0.18101418452980453,1.3518693391428316,-0.18363926
DRAM2,ENSG00000156171,196,False,0.5876549976455197,1.2722407290080902,-0.6168949
CEPT1,ENSG00000134255,67,True,0.28017184474002615,3.0885224439005072,3.0226989
DENND2D,ENSG00000162777,168,False,0.5897381480543562,1.5838702705162158,-0.22588389
WDR77,ENSG00000116455,67,False,0.2143031976029356,1.2517303803905193,-0.36852324
ATP5F1,ENSG00000116459,477,True,1.3132994800320987,2.88306893906945,1.2684577
C1orf162,ENSG00000143110,496,True,1.646798105867018,2.689124055171854,0.99830765
RAP1A,ENSG00000116473,422,False,1.0982277481079543,1.4538546247409392,-0.7757324
CAPZA1,ENSG00000116489,235,False,0.6913550205391259,1.7324260717146363,-0.23248303
RHOC,ENSG00000155366,324,False,1.2348499374476638,2.066822715216896,-0.043215714
RSBN1,ENSG00000081019,69,False,0.24163643424134665,1.3715210843056822,-0.14735675
HIPK1,ENSG00000163349,50,False,0.1624705566905895,1.256727326668124,-0.3592975
TRIM33,ENSG00000197323,44,False,0.13073443814571692,1.3063423523784408,-0.26769456
BCAS2,ENSG00000116752,178,False,0.5703417626395028,1.377056295840337,-0.48537964
NRAS,ENSG00000213281,47,False,0.14463084525897799,1.1516622931405507,-0.5532764
CSDE1,ENSG00000009307,384,False,1.0912346717140955,2.3355059829063216,0.39340898
SIKE1,ENSG00000052723,60,False,0.20287066794781242,1.2985360882810013,-0.28210708
ATP1A1,ENSG00000163399,256,True,0.8178807351123673,2.718979589468155,1.1098636
CD58,ENSG00000116815,84,False,0.28069286153258494,1.3424064395233466,-0.20111036
CD2,ENSG00000116824,314,True,1.300057637668196,3.448309849602725,2.176776
FAM46C,ENSG00000183508,53,False,0.20816128831510738,1.5335750050240096,0.15183926
NOTCH2,ENSG00000134250,81,False,0.2560126719171541,1.2035121859535503,-0.45754728
NOTCH2NL,ENSG00000213240,141,True,0.47952583228987644,2.435944288476701,0.8432391
NBPF10,ENSG00000163386,113,False,0.3465768894022462,1.247521901179638,-0.37629327
TXNIP,ENSG00000117289,738,False,2.105795308065384,2.1565963334275207,-0.39007458
POLR3GL,ENSG00000121851,226,False,0.6802558013622493,1.3280908561987228,-0.7826387
LIX1L,ENSG00000152022,58,False,0.20876090399133698,1.3111955921430887,-0.25873417
RBM8A,ENSG00000131795,403,False,1.0664199519162711,1.237920940661599,-1.062078
PEX11B,ENSG00000131779,47,False,0.15107554183485963,1.1809862586665552,-0.4991363
POLR3C,ENSG00000186141,50,False,0.15952069618329337,1.1881494789902163,-0.48591104
RNF115,ENSG00000121848,112,False,0.38789320580974335,1.457326005324989,-0.3846628
FCGR1A,ENSG00000150337,65,True,0.2858712510609874,2.43120645270518,1.8091131
HIST2H2BE,ENSG00000184678,47,False,0.16206640088655547,1.2471281250901138,-0.37702027
SF3B4,ENSG00000143368,122,False,0.38137138648363933,1.2711310981839201,-0.33270422
MTMR11,ENSG00000014914,96,False,0.33405641640392525,1.496713824902637,0.0837834
PLEKHO1,ENSG00000023902,127,False,0.3794913331172077,1.1692824849471544,-0.5207447
ANP32E,ENSG00000143401,95,False,0.3187548764579633,1.2870085336610428,-0.3033901
APH1A,ENSG00000117362,247,False,0.729948325547209,1.2909030208390726,-0.83323807
MRPS21,ENSG00000187145,253,False,0.7831061680338716,1.3721679616752551,-0.72266555
RPRD2,ENSG00000163125,43,False,0.14529241007805985,1.2578344276861007,-0.3572535
MCL1,ENSG00000143384,507,False,1.3875816304164683,1.495332294563468,-0.9615768
ENSA,ENSG00000143420,370,True,1.0855649380904209,2.764548942739043,0.96235484
CTSS,ENSG00000163131,619,True,2.578276837682015,3.0417783092588913,0.6169919
CERS2,ENSG00000143418,113,True,0.42466397292560554,2.6298115112779574,1.0864903
CDC42SE1,ENSG00000197622,256,False,0.7376579741895573,1.3028217773332809,-0.8170209
MLLT11,ENSG00000213190,45,True,0.2432504005597746,3.6999135279255313,4.1514945
